Asset1,Asset2,Asset3,Asset4
0.0032201433,0.0034205397,0.0054376964,0.00501476
0.014297799,0.013918718,0.009165235,0.017714672
0.012934637,0.008005834,0.008809759,0.005513304
0.0012257514,0.0015148332,0.0017485863,0.004614235
0.020098057,0.021483272,0.015943658,0.009266949
0.0021259997,0.0023916697,0.0016422075,0.0040667644
0.0064790975,0.005739719,0.0098194415,0.01199776
0.0074528125,0.004732781,0.007635396,0.005412154
0.006604334,0.0032291354,0.005350719,0.0037531094
0.0067078746,0.0054868255,0.0045755105,0.005419346
0.0041650455,0.002246312,0.0036439244,0.00182226
0.011771612,0.014578153,0.0046955477,0.006136629
0.01918877,0.016810503,0.008021242,0.009979674
0.008519411,0.009056013,0.0033054652,0.004126613
0.0051555275,0.010274686,0.0064536217,0.012129748
0.0034362907,0.007765932,0.0043090787,0.0034601828
0.0030993682,0.005714194,0.0033856216,0.002295103
0.0063670627,0.013065397,0.0035068628,0.006238385
0.012207483,0.010937029,0.009127483,0.007028378
0.0065639634,0.00345473,0.0030971533,0.0058790226
0.0027757552,0.0010267128,0.0026510062,0.0020843034
0.0057243435,0.004433702,0.0027735294,0.0030452572
0.010436376,0.012723991,0.010814949,0.0087439045
0.0015304501,0.002754794,0.0027350618,0.0024888916
0.0050398614,0.012437061,0.004734241,0.006614578
0.014649449,0.008996632,0.011996767,0.013532346
0.0075315316,0.013779122,0.0031643286,0.0025853796
0.014929887,0.009362999,0.0125741875,0.011118494
0.019981084,0.015058986,0.010014317,0.012608803
0.020690521,0.015657658,0.012847924,0.013407058
0.0025501542,0.0018890647,0.0029394482,0.0021386377
0.010882672,0.010672822,0.009750666,0.011624849
0.008438618,0.0072917626,0.0046531507,0.004010836
0.01018587,0.007657381,0.006066575,0.008661423
0.014982328,0.009376446,0.021601602,0.011203326
0.0046992353,0.0040335082,0.006661894,0.0030744418
0.014061492,0.014270728,0.013424332,0.014044201
0.004803229,0.010514268,0.005660064,0.0073886546
0.0062979367,0.005179477,0.0059924796,0.005422066
0.005014263,0.0059940307,0.004918005,0.0047000204
0.0017704631,0.005735139,0.0020234827,0.0057957307
0.014176876,0.005281429,0.0061955354,0.0053817085
0.007182232,0.00489688,0.0072538825,0.0056738155
0.014322939,0.012809337,0.017859759,0.007567122
0.010052544,0.010912087,0.012835502,0.0041353563
0.009747932,0.008202394,0.010981075,0.0066661173
0.009473486,0.004933206,0.0062702084,0.010084716
0.01167178,0.0031325463,0.0053092306,0.006942378
0.016074395,0.009082655,0.015559205,0.0045311432
0.008546407,0.0034407123,0.007941239,0.00458118
0.0033049185,0.0016411876,0.0037102692,0.0019678327
0.021935958,0.011801604,0.01210834,0.008126831
0.012829685,0.0051895455,0.0047371895,0.004632303
0.014210163,0.019104078,0.012960489,0.013770293
0.00711223,0.01461078,0.009521888,0.0056756935
0.026377998,0.01089136,0.014227896,0.009578551
0.017176306,0.020106966,0.01234479,0.01597583
0.0077976356,0.0045190267,0.003339493,0.003411869
0.020575242,0.007320006,0.011646296,0.006731394
0.004260846,0.0053353296,0.002070872,0.0025280926
0.0064044036,0.008619801,0.012091936,0.01320371
0.008163373,0.0062082047,0.0143377585,0.016899854
0.008361514,0.005995213,0.006814176,0.002974795
0.0093674855,0.015664907,0.010377584,0.0060915197
0.011877507,0.013392496,0.007409338,0.014670484
0.008168776,0.011834576,0.008607092,0.0151295345
0.012109932,0.010160153,0.013756481,0.007658109
0.019850131,0.012954707,0.010248577,0.01045221
0.017897882,0.022140326,0.0114145875,0.008974316
0.010913569,0.0065366477,0.009056467,0.006948005
0.0019266008,0.0027727752,0.004718461,0.0016933726
0.0121257715,0.008237107,0.0068371594,0.007502194
0.0040780585,0.004109869,0.004400884,0.012140186
0.008753428,0.008940697,0.007076579,0.007122659
0.006687119,0.007312633,0.004963559,0.004946951
0.016333576,0.02145934,0.011424352,0.0137287425
0.0064615184,0.0035073047,0.005881314,0.00596056
0.010076773,0.008716273,0.0072121336,0.0029703137
0.012907539,0.010667412,0.0107374815,0.00786041
0.007142485,0.0082042245,0.0056282766,0.005603616
0.009284758,0.009809174,0.010782385,0.00738033
0.0077548474,0.0045490107,0.006693187,0.0054733115
0.029558891,0.036711533,0.022358783,0.014891394
0.00862673,0.009208622,0.008173313,0.006673633
0.0034712052,0.0067855245,0.005100012,0.0032565626
0.015368307,0.012128708,0.0063225618,0.0050471355
0.014211719,0.038176566,0.017192727,0.024419637
0.0035828126,0.0029335958,0.0065407553,0.002936646
0.009444102,0.01208373,0.01393174,0.01166113
0.004087105,0.005283584,0.0039269323,0.0038865434
0.0133577185,0.008744988,0.012350651,0.011855282
0.019259255,0.011687737,0.016111996,0.010118039
0.0050624404,0.005245476,0.007271319,0.008387669
0.006335952,0.0044034314,0.0073682177,0.0041104816
0.0047915867,0.004663998,0.0054288534,0.0035049487
